Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Image Classification of Canaries Using Artificial Neural Network,https://www.webofscience.com/wos/woscc/full-record/WOS:000783814200003,WOS.ISTP Edition,2021 5TH INTERNATIONAL CONFERENCE ON INFORMATICS AND COMPUTATIONAL SCIENCES (ICICOS 2021),Author Order: 3 of 3,"Authors : Yanuki, B; Rahman, AY; Istiadi;",2021,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
A Knowledge Base Repository Model for Multiple Domain Problems of Distributed Expert System,https://www.webofscience.com/wos/woscc/full-record/WOS:000454844900053,WOS.ISTP Edition,2017 INTERNATIONAL CONFERENCE ON SUSTAINABLE INFORMATION ENGINEERING AND TECHNOLOGY (SIET),Author Order: 3 of 3,"Authors : Istiadi; Effendy, DU; Sulistiarini, EB; Joegijantoro, R;",2017,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
DOMAIN BASED WEB RETRIEVAL DRIVEN BY SEMANTIC REPRESENTATION OF PERSONAL KNOWLEDGE ORGANIZER,https://www.webofscience.com/wos/woscc/full-record/WOS:000390109400013,WOS.ESCI Edition,JURNAL TEKNOLOGI-SCIENCES & ENGINEERING,Author Order: 3 of 3,"Authors : Istiadi; Nugroho, LE; Santosa, PI;",2016,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
AN ONLINE EXPERT SYSTEM FOR CONSULTATION SERVICES USING A MOBILE APPLICATION INTERFACE,https://www.webofscience.com/wos/woscc/full-record/WOS:000391211800007,WOS.ESCI Edition,JURNAL TEKNOLOGI,Author Order: 3 of 3,"Authors : Istiadi; Rofii, F; Qustoniah, A; Marisa, F; Putra, GD;",2016,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
Toward SCORM Generating Based on Semantic Representation of Knowledge Organizer,https://www.webofscience.com/wos/woscc/full-record/WOS:000401569600053,WOS.ISTP Edition,PROCEEDINGS OF 2016 8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND ELECTRICAL ENGINEERING (ICITEE),Author Order: 3 of 3,"Authors : Istiadi; Nugroho, LE; Santosa, PI;",2016,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
Consultation Services Using IVR Telephony Based on Expert System Perspective,https://www.webofscience.com/wos/woscc/full-record/WOS:000380617100064,WOS.ISTP Edition,2015 INTERNATIONAL CONFERENCE ON SCIENCE IN INFORMATION TECHNOLOGY (ICSITECH),Author Order: 3 of 3,"Authors : Istiadi; Sulistiarini, EB; Joegijantoro, R;",2015,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
An Agent Model of Domain based Information Seeking on Personal Knowledge Organizer,https://www.webofscience.com/wos/woscc/full-record/WOS:000380607700047,WOS.ISTP Edition,2014 INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY SYSTEMS AND INNOVATION (ICITSI),Author Order: 3 of 3,"Authors : Istiadi; Nugroho, LE; Santosa, PI;",2014,N/A,No-Q Journal,ISTIADI,161222,Universitas Widya Gama,S1 - Teknik Informatika
