Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
Empirical Study of a Spatial Analysis for Prone Road Traffic Accident Classification based on MCDM Method,https://www.webofscience.com/wos/woscc/full-record/WOS:000835101800001,Q4 Journal,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,MAY 2022,3 cited,Author Order: 4 of 4,"Authors : Vitianingsih, AV; Othman, Z; Baharin, SSK; Suraji, A;",Scopus Indexed,DOI :
An investigation of fall accident in a high-rise building project,https://www.webofscience.com/wos/woscc/full-record/WOS:000649303500143,No-Q Journal,3RD INTERNATIONAL CONFERENCE ON CIVIL AND ENVIRONMENTAL ENGINEERING (ICCEE 2019),2020,9 cited,Author Order: 4 of 4,"Authors : Vitianingsih, AV; Othman, Z; Baharin, SSK; Suraji, A;",Scopus Indexed,DOI : 10.1088/1755-1315/419/1/012144
Driver Performance Problems of Intercity Bus Public Transportation Safety in Indonesia,https://www.webofscience.com/wos/woscc/full-record/WOS:000422873200026,No-Q Journal,INTERNATIONAL CONFERENCE OF APPLIED SCIENCE AND TECHNOLOGY FOR INFRASTRUCTURE ENGINEERING,2017,1 cited,Author Order: 4 of 4,"Authors : Vitianingsih, AV; Othman, Z; Baharin, SSK; Suraji, A;",Scopus Indexed,DOI : 10.1088/1757-899X/267/1/012026
Identifying root causes of construction accidents - Discussion,https://www.webofscience.com/wos/woscc/full-record/WOS:000170053300015,No-Q Journal,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT-ASCE,JUL-AUG 2001,2 cited,Author Order: 4 of 4,"Authors : Vitianingsih, AV; Othman, Z; Baharin, SSK; Suraji, A;",Scopus Indexed,DOI :
