Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
An Integrated E-Learning Fuzzy Expert System for Acute Pharyngitis Diagnosis,https://www.scopus.com/record/display.uri?eid=2-s2.0-85150431719&origin=resultslist,"Proceeding - 6th International Conference on Information Technology, Information Systems and Electri","Proceeding - 6th International Conference on Information Technology, Information Systems and Electri",Author Order : 2 of 6,N/A,2022,N/A,no-Q as Conference Proceedin,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Expert System Integrated with Medical Record for Infectious Diseases using Certainty Factor,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138337411&origin=resultslist,"Proceedings - 2022 IEEE International Conference on Cybernetics and Computational Intelligence, Cybe","Proceedings - 2022 IEEE International Conference on Cybernetics and Computational Intelligence, Cybe",Author Order : 2 of 6,N/A,2022,N/A,no-Q as Conference Proceedin,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
A conceptual framework of sustainable development strategy as “corporate responsibility” in manufacturing industry,https://www.scopus.com/record/display.uri?eid=2-s2.0-85048697386&origin=resultslist,Environmental Quality Management,Environmental Quality Management,Author Order : 2 of 6,N/A,2018,N/A,Q4 as Journal,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
A knowledge base repository model for multiple domain problems of distributed expert system,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049374428&origin=resultslist,"Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology, S","Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology, S",Author Order : 2 of 6,N/A,2017,N/A,no-Q as Conference Proceedin,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Consultation services using IVR telephony based on expert system perspective,https://www.scopus.com/record/display.uri?eid=2-s2.0-84966670348&origin=resultslist,Proceedings - 2015 International Conference on Science in Information Technology: Big Data Spectrum,Proceedings - 2015 International Conference on Science in Information Technology: Big Data Spectrum,Author Order : 2 of 6,N/A,2016,N/A,no-Q as Conference Proceedin,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Enhancing online expert system consultation service with short message service interface,https://www.scopus.com/record/display.uri?eid=2-s2.0-84927948732&origin=resultslist,"2014 1st International Conference on Information Technology, Computer, and Electrical Engineering: G","2014 1st International Conference on Information Technology, Computer, and Electrical Engineering: G",Author Order : 2 of 6,N/A,2015,N/A,no-Q as Conference Proceedin,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
