Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Analysis of The Influence of Trust In Digital Transactions and Website Reputation on Customers Purchase Intention Through Footwear Website,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20The%20Influence%20of%20Trust%20In%20Digital%20Transactions%20and%20Website%20Reputation%20on%20Customers%20Purchase%20Intention%20Through%20Footwear%20Website%27,"Jurnal Informasi dan Teknologi, 297-301, 2024","Jurnal Informasi dan Teknologi, 297-301, 2024",N/A,"Authors : Y Setianti, EB Sulistiarini, B Sugiharto, A Syaifudin",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"Sabda Gayatri ""Sastra Menggema Perjuangan""",https://scholar.google.com/scholar?q=+intitle:%27Sabda%20Gayatri%20%22Sastra%20Menggema%20Perjuangan%22%27,"Pustaka Peradaban, 2024","Pustaka Peradaban, 2024",N/A,"Authors : EB Sulistiarini, H Ratnawati, FM Figailah, BW Putri, J Wigya, R Larasati, ...",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Inovasi Pertanian Ramah Lingkungan dalam Eduwisata di Omah Kebun Bumiaji,https://scholar.google.com/scholar?q=+intitle:%27Inovasi%20Pertanian%20Ramah%20Lingkungan%20dalam%20Eduwisata%20di%20Omah%20Kebun%20Bumiaji%27,"SIARINDOMEDIA.COM, 2024","SIARINDOMEDIA.COM, 2024",N/A,Authors : EB Sulistiarini,2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Kesehatan Dan Keselamatan Kerja,https://scholar.google.com/scholar?q=+intitle:%27Kesehatan%20Dan%20Keselamatan%20Kerja%27,,,N/A,"Authors : SB Elva Rahmi Fitri, Afdhol Dzikri, Gandu Eko Julianto Suyoso, Gamasiano ...",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Strategi Pembentukan Eduwisata Pertanian Ramah Lingkungan melalui Focus Group Discussion (FGD),https://scholar.google.com/scholar?q=+intitle:%27Strategi%20Pembentukan%20Eduwisata%20Pertanian%20Ramah%20Lingkungan%20melalui%20Focus%20Group%20Discussion%20(FGD)%27,"Jurnal Pengabdian kepada Masyarakat Nusantara 6 (1), 526-533, 2024","Jurnal Pengabdian kepada Masyarakat Nusantara 6 (1), 526-533, 2024",N/A,"Authors : EB Sulistiarini, R Prihandini, R Alfian, W Shofiah, H Laili",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Analysis Of Perceived Value of Benefit Cash on Delivery Payment Method Customers When Using Digital Wallet Application,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20Of%20Perceived%20Value%20of%20Benefit%20Cash%20on%20Delivery%20Payment%20Method%20Customers%20When%20Using%20Digital%20Wallet%20Application%27,"Jurnal Informasi dan Teknologi, 21-28, 2024","Jurnal Informasi dan Teknologi, 21-28, 2024",N/A,"Authors : DS Nazara, S Ekasari, EB Sulistiarini, EY Utami",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"The Relationship between Lecturer Performance Factors and Increased Insight, Strategy, and Impact on Higher Education Students","https://scholar.google.com/scholar?q=+intitle:%27The%20Relationship%20between%20Lecturer%20Performance%20Factors%20and%20Increased%20Insight,%20Strategy,%20and%20Impact%20on%20Higher%20Education%20Students%27","Jurnal Pedagogi dan Pembelajaran 7 (2), 2024","Jurnal Pedagogi dan Pembelajaran 7 (2), 2024",N/A,Authors : EB Sulistiarini,2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Pelatihan Manajemen Perekaman Arsip Digital melalui Google Drive dan Onedrive,https://scholar.google.com/scholar?q=+intitle:%27Pelatihan%20Manajemen%20Perekaman%20Arsip%20Digital%20melalui%20Google%20Drive%20dan%20Onedrive%27,"E-Amal: Jurnal Pengabdian Kepada Masyarakat 4 (2), 491-498, 2024","E-Amal: Jurnal Pengabdian Kepada Masyarakat 4 (2), 491-498, 2024",N/A,"Authors : M Anwar, EB Sulistiarini, E Elizabeth, ML Hakim, D Dharmawan",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"Analysis of The Influence of Electronic Customer Satisfaction, Application Perceived Value and Electronic Service Quality on Electronic Customer Loyalty of Ruang Guru …","https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20The%20Influence%20of%20Electronic%20Customer%20Satisfaction,%20Application%20Perceived%20Value%20and%20Electronic%20Service%20Quality%20on%20Electronic%20Customer%20Loyalty%20of%20Ruang%20Guru%C2%A0%E2%80%A6%27","MALCOM: Indonesian Journal of Machine Learning and Computer Science 4 (1), 85-91, 2024","MALCOM: Indonesian Journal of Machine Learning and Computer Science 4 (1), 85-91, 2024",N/A,"Authors : S Ekasari, LKC Dewi, B Efendi, EB Sulistiarini, IWGAS Jodi",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Penggunaan Teknik Data Mining untuk Analisis Perilaku Pengguna pada Media Sosial,https://scholar.google.com/scholar?q=+intitle:%27Penggunaan%20Teknik%20Data%20Mining%20untuk%20Analisis%20Perilaku%20Pengguna%20pada%20Media%20Sosial%27,"Jurnal Minfo Polgan 13 (1), 1074-1078, 2024","Jurnal Minfo Polgan 13 (1), 1074-1078, 2024",N/A,"Authors : CS Octiva, TI Fajri, EB Sulistiarini, S Suharjo, UW Nuryanto",2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"The Relationship between Lecturer Performance Factors and Increased Insight, Strategy, and Impact on Higher Education Students","https://scholar.google.com/scholar?q=+intitle:%27The%20Relationship%20between%20Lecturer%20Performance%20Factors%20and%20Increased%20Insight,%20Strategy,%20and%20Impact%20on%20Higher%20Education%20Students%27","Jurnal Pedagogi dan Pembelajaran 7 (2), 2024","Jurnal Pedagogi dan Pembelajaran 7 (2), 2024",N/A,Authors : EB Sulistiarini,2024,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"Peringati Hari Ibu dan Milad ke-24, Forhati Kota Malang Siap Luncurkan Buku “Tutur Perempuan Bagi Anak Bangsa”","https://scholar.google.com/scholar?q=+intitle:%27Peringati%20Hari%20Ibu%20dan%20Milad%20ke-24,%20Forhati%20Kota%20Malang%20Siap%20Luncurkan%20Buku%20%E2%80%9CTutur%20Perempuan%20Bagi%20Anak%20Bangsa%E2%80%9D%27","https://reportasemalang.com/2022/12/peringati-hari-ibu-dan-milad-ke-24 …, 2023","https://reportasemalang.com/2022/12/peringati-hari-ibu-dan-milad-ke-24 …, 2023",N/A,Authors : ANARM com,2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Deteksi cepat dan murah untuk keluhan pekerja angkut cat PT XYZ guna menghindari cedera lanjut,https://scholar.google.com/scholar?q=+intitle:%27Deteksi%20cepat%20dan%20murah%20untuk%20keluhan%20pekerja%20angkut%20cat%20PT%20XYZ%20guna%20menghindari%20cedera%20lanjut%27,"JENIUS: Jurnal Terapan Teknik Industri 4 (2), 262-270, 2023","JENIUS: Jurnal Terapan Teknik Industri 4 (2), 262-270, 2023",N/A,"Authors : EB Sulistiarini, C Utomo, B Suhardi",2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Upaya Meminimalkan Timbulan Sampah dengan Strategi Zero Waste,https://scholar.google.com/scholar?q=+intitle:%27Upaya%20Meminimalkan%20Timbulan%20Sampah%20dengan%20Strategi%20Zero%20Waste%27,"Inovasi Teknologi dalam Mendukung Pencapaian SDGs 1, 5-2, 2023","Inovasi Teknologi dalam Mendukung Pencapaian SDGs 1, 5-2, 2023",N/A,"Authors : EB Sulistiarini, IB Efendi",2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Implementasi Pompa Hidram pada Masjid Baiturrohman,https://scholar.google.com/scholar?q=+intitle:%27Implementasi%20Pompa%20Hidram%20pada%20Masjid%20Baiturrohman%27,"The 6th Conference on Innovation and Application of Science and Technology …, 2023","The 6th Conference on Innovation and Application of Science and Technology …, 2023",N/A,"Authors : P Suwandono, NR Ismail, EB Sulistiarini, N Tjahjono",2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Perancangan Meja Kursi Portabel yang Ergonomis untuk Pekerja Remote dengan Konsep Three in One dan Swing Out Table Menggunakan Metode Antropometri Berbasis CAD,https://scholar.google.com/scholar?q=+intitle:%27Perancangan%20Meja%20Kursi%20Portabel%20yang%20Ergonomis%20untuk%20Pekerja%20Remote%20dengan%20Konsep%20Three%20in%20One%20dan%20Swing%20Out%20Table%20Menggunakan%20Metode%20Antropometri%20Berbasis%20CAD%27,"Ciastech 6 (Universitas Widyagama Malang), 658-664, 2023","Ciastech 6 (Universitas Widyagama Malang), 658-664, 2023",N/A,"Authors : YAP Tama, EB Sulistiarini, AR Wardhani",2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Transformasi Bauran Pemasaran dalam Bisnis di Era Digital,https://scholar.google.com/scholar?q=+intitle:%27Transformasi%20Bauran%20Pemasaran%20dalam%20Bisnis%20di%20Era%20Digital%27,"Manajemen Bisnis di Era Digital 1, 68-182, 2023","Manajemen Bisnis di Era Digital 1, 68-182, 2023",N/A,Authors : EB Sulistiarini,2023,N/A,N/A,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
