Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Effects of overloading commercial vehicles on road design life,https://www.scopus.com/record/display.uri?eid=2-s2.0-85190712514&origin=resultslist,AIP Conference Proceedings,AIP Conference Proceedings,Author Order : 1 of 7,N/A,2024,N/A,Q4 as Conference Proceedin
Identification of Road Surface Defects Using Multiclass Support Vector Machine,https://www.scopus.com/record/display.uri?eid=2-s2.0-85176597413&origin=resultslist,2023 4th International Conference on Artificial Intelligence and Data Sciences: Discovering Technolo,2023 4th International Conference on Artificial Intelligence and Data Sciences: Discovering Technolo,Author Order : 1 of 7,N/A,2023,N/A,no-Q as Conference Proceedin
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163131496&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 1 of 7,N/A,2023,N/A,no-Q as Conference Proceedin
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://www.scopus.com/record/display.uri?eid=2-s2.0-85143070907&origin=resultslist,"Proceedings - 2022 1st International Conference on Technology Innovation and Its Applications, ICTII","Proceedings - 2022 1st International Conference on Technology Innovation and Its Applications, ICTII",Author Order : 1 of 7,N/A,2022,N/A,no-Q as Conference Proceedin
Correlation of Expansive Soil and Road Pavement Conditions Using Data Mining from GIS Portal,https://www.scopus.com/record/display.uri?eid=2-s2.0-85138344500&origin=resultslist,"Proceedings - 2022 IEEE International Conference on Cybernetics and Computational Intelligence, Cybe","Proceedings - 2022 IEEE International Conference on Cybernetics and Computational Intelligence, Cybe",Author Order : 1 of 7,N/A,2022,N/A,no-Q as Conference Proceedin
Application of the Synthetic Over-Sampling Method to Increase the Sensitivity of Algorithm Classification for Class Imbalance in Small Spatial Datasets,https://www.scopus.com/record/display.uri?eid=2-s2.0-85136695323&origin=resultslist,International Journal of Intelligent Engineering and Systems,International Journal of Intelligent Engineering and Systems,Author Order : 1 of 7,N/A,2022,N/A,Q2 as Journal
Empirical Study of a Spatial Analysis for Prone Road Traffic Accident Classification based on MCDM Method,https://www.scopus.com/record/display.uri?eid=2-s2.0-85131407914&origin=resultslist,International Journal of Advanced Computer Science and Applications,International Journal of Advanced Computer Science and Applications,Author Order : 1 of 7,N/A,2022,N/A,Q3 as Journal
ACCIDENT RISK ANALYSIS OF ROAD GEOMETRIC COMPONENTS USING FUNCTIONAL WORTHINESS APPROACH,https://www.scopus.com/record/display.uri?eid=2-s2.0-85133512618&origin=resultslist,Eastern-European Journal of Enterprise Technologies,Eastern-European Journal of Enterprise Technologies,Author Order : 1 of 7,N/A,2022,N/A,Q3 as Journal
Analysis of bus performance on the risk of traffic accidents in East Java-Indonesia,https://www.scopus.com/record/display.uri?eid=2-s2.0-85108631757&origin=resultslist,"EUREKA, Physics and Engineering","EUREKA, Physics and Engineering",Author Order : 1 of 7,N/A,2021,N/A,Q3 as Journal
ANALYSIS OF SOIL CHARACTERISTICS ON EXPANSIVE CLAY STABILIZATION USING SHELL ASH,https://www.scopus.com/record/display.uri?eid=2-s2.0-85123530649&origin=resultslist,Eastern-European Journal of Enterprise Technologies,Eastern-European Journal of Enterprise Technologies,Author Order : 1 of 7,N/A,2021,N/A,Q3 as Journal
Analysis of bus performance on the risk of traffic accidents in East Java-Indonesia,https://www.scopus.com/record/display.uri?eid=2-s2.0-85108631757&origin=resultslist,"EUREKA, Physics and Engineering","EUREKA, Physics and Engineering",Author Order : 1 of 3,N/A,2021,N/A,Q3 as Journal
Driver performance problems of intercity bus public transportation safety in Indonesia,https://www.scopus.com/record/display.uri?eid=2-s2.0-85037718693&origin=resultslist,IOP Conference Series: Materials Science and Engineering,IOP Conference Series: Materials Science and Engineering,Author Order : 1 of 3,N/A,2017,N/A,Q4 as Conference Proceedin
