Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Comparison of Pine Seed Quality Classification Using the Naive Bayes and KNN Methods,https://garuda.kemdikbud.go.id/documents/detail/4212033,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 7, No 1 (2024): JSAE42-47","JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 7, No 1 (2024): JSAE42-47",Author Order : 3 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 7, No 1 (2024): JSAE42-47",2024,DOI: 10.31328/jsae.v7i1.5090,Accred : Sinta 4,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Klasifikasi Logo Mobil Menggunakan Jaringan Syaraf Tiruan Backpropagation dan Decision Tree,https://garuda.kemdikbud.go.id/documents/detail/2564883,"JOINTECS (Journal of Information Technology and Computer Science) Vol 7, No 1 (2022)27-34","JOINTECS (Journal of Information Technology and Computer Science) Vol 7, No 1 (2022)27-34",Author Order : 3 of 3,"JOINTECS (Journal of Information Technology and Computer Science) Vol 7, No 1 (2022)27-34",2022,DOI: 10.31328/jointecs.v7i1.3464,Accred : Sinta 3,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Identifikasi Jenis Tanaman Anggrek Melalui Tekstur Bunga dengan Tapis Gabor dan M-SVM,https://garuda.kemdikbud.go.id/documents/detail/2192363,"JOINTECS (Journal of Information Technology and Computer Science) Vol 6, No 1 (2021)29-34","JOINTECS (Journal of Information Technology and Computer Science) Vol 6, No 1 (2021)29-34",Author Order : 3 of 3,"JOINTECS (Journal of Information Technology and Computer Science) Vol 6, No 1 (2021)29-34",2021,DOI: 10.31328/jointecs.v6i1.1746,Accred : Sinta 4,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
PENINGKATAN PENJUALAN UMKM YOGHURT OUTY (YOOUTY) MELALUI INOVASI BRANDING PRODUK DAN PEMASARAN,https://garuda.kemdikbud.go.id/documents/detail/2609583,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""711-716","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""711-716",Author Order : 3 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""711-716",2021,DOI: -,Accred : Unknown,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
PENGEMBANGAN STRATEGI PEMASARAN MELALUI OPTIMALISASI MEDIA SOSIAL PADA USAHA DAUN REMPAH CATERING,https://garuda.kemdikbud.go.id/documents/detail/2459625,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""51-58","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""51-58",Author Order : 3 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""51-58",2021,DOI: -,Accred : Unknown,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
DIVERSIFIKASI PRODUK DAN INOVASI KEMASAN PRODUK MAKANAN PADA USAHA DAUN REMPAH CATERING,https://garuda.kemdikbud.go.id/documents/detail/2459509,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""723-728","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""723-728",Author Order : 3 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""723-728",2021,DOI: -,Accred : Unknown,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
