Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
A Knowledge Base Repository Model for Multiple Domain Problems of Distributed Expert System,https://www.webofscience.com/wos/woscc/full-record/WOS:000454844900053,WOS.ISTP Edition,2017 INTERNATIONAL CONFERENCE ON SUSTAINABLE INFORMATION ENGINEERING AND TECHNOLOGY (SIET),Author Order: 3 of 4,"Authors : Istiadi; Effendy, DU; Sulistiarini, EB; Joegijantoro, R;",2017,N/A,No-Q Journal,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Consultation Services Using IVR Telephony Based on Expert System Perspective,https://www.webofscience.com/wos/woscc/full-record/WOS:000380617100064,WOS.ISTP Edition,2015 INTERNATIONAL CONFERENCE ON SCIENCE IN INFORMATION TECHNOLOGY (ICSITECH),Author Order: 3 of 4,"Authors : Istiadi; Sulistiarini, EB; Joegijantoro, R;",2015,N/A,No-Q Journal,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
