Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Priority selection of batik manufacturing tools with analytical hierarchy process (AHP) method,https://www.scopus.com/record/display.uri?eid=2-s2.0-85160101247&origin=resultslist,AIP Conference Proceedings,AIP Conference Proceedings,Author Order : 0 of 2,N/A,2023,N/A,Q4 as Conference Proceedin,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
The Influence of Production Factors on Productivity in Batik SME's in Malang Raya,https://www.scopus.com/record/display.uri?eid=2-s2.0-85111110277&origin=resultslist,Journal of Physics: Conference Series,Journal of Physics: Conference Series,Author Order : 0 of 2,N/A,2021,N/A,Q4 as Conference Proceedin,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Constructing the novelty of SME collaboration parameter in gamification based on “silaturrahmi” culture,https://www.scopus.com/record/display.uri?eid=2-s2.0-85119294612&origin=resultslist,Journal of Theoretical and Applied Information Technology,Journal of Theoretical and Applied Information Technology,Author Order : 0 of 2,N/A,2021,N/A,Q3 as Journal,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Performance Measurement of SMEs of Malang Batik as a Result of Local Wisdom with Balanced Scorecard,https://www.scopus.com/record/display.uri?eid=2-s2.0-85069055812&origin=resultslist,IOP Conference Series: Materials Science and Engineering,IOP Conference Series: Materials Science and Engineering,Author Order : 0 of 2,N/A,2019,N/A,Q3 as Conference Proceedin,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
The Compressive Strength of Post-Fire Concrete Prepared with Bamboo Fiber,https://www.scopus.com/record/display.uri?eid=2-s2.0-85074797486&origin=resultslist,IOP Conference Series: Materials Science and Engineering,IOP Conference Series: Materials Science and Engineering,Author Order : 0 of 2,N/A,2019,N/A,Q3 as Conference Proceedin,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
