Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
POTENTIAL CUSTOMER ANALYSIS USING K-MEANS WITH ELBOW METHOD,https://scholar.google.com/scholar?q=+intitle:%27POTENTIAL%20CUSTOMER%20ANALYSIS%20USING%20K-MEANS%20WITH%20ELBOW%20METHOD%27,"JIKO (Jurnal Informatika dan Komputer) 7 (2), 307-312, 2023","JIKO (Jurnal Informatika dan Komputer) 7 (2), 307-312, 2023",N/A,"Authors : F Marisa, AR Wardhani, W Purnomowati, AV Vitianingsih, AL Maukar, ...",2023,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
The Technology Acceptance of Intelligent Silaturrahmi-based Collaboration Gamification Mechanic (ISb-GM) in Small Medium Enterprise,https://scholar.google.com/scholar?q=+intitle:%27The%20Technology%20Acceptance%20of%20Intelligent%20Silaturrahmi-based%20Collaboration%20Gamification%20Mechanic%20(ISb-GM)%20in%20Small%20Medium%20Enterprise%27,"SAR Journal (2619-9955) 6 (3), 2023","SAR Journal (2619-9955) 6 (3), 2023",N/A,"Authors : F Marisa, AR Wardhani, W Purnomowati, M Andarwati, AN Suksmawati",2023,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
PEMANFAATAN LIMBAH KULIT SINGKONG MENJADI PUPUK ORGANIK UNTUK MEWUJUDKAN ZERO WASTE DI IRT SINGKONG KEJU BALEARJOSARI MALANG,https://scholar.google.com/scholar?q=+intitle:%27PEMANFAATAN%20LIMBAH%20KULIT%20SINGKONG%20MENJADI%20PUPUK%20ORGANIK%20UNTUK%20MEWUJUDKAN%20ZERO%20WASTE%20DI%20IRT%20SINGKONG%20KEJU%20BALEARJOSARI%20MALANG%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : FD Anggraeni, AR Wardhani, MG Arrahim",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
Optimalisasi Potensi Desa Pandanajeng Kabupaten Malang Melalui Diversifikasi Produk Berbahan Baku Ikan Lele,https://scholar.google.com/scholar?q=+intitle:%27Optimalisasi%20Potensi%20Desa%20Pandanajeng%20Kabupaten%20Malang%20Melalui%20Diversifikasi%20Produk%20Berbahan%20Baku%20Ikan%20Lele%27,"Progress Conference 5 (2), 396-403, 2022","Progress Conference 5 (2), 396-403, 2022",N/A,"Authors : AR Fadhillah, FD Anngraeni, AR Wardhani, W Purnomowati, M Ridwan",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
User Motivation Level Analysis of SME Collaboration Gamification,https://scholar.google.com/scholar?q=+intitle:%27User%20Motivation%20Level%20Analysis%20of%20SME%20Collaboration%20Gamification%27,"JOIV: International Journal on Informatics Visualization 6 (3), 710-717, 2022","JOIV: International Journal on Informatics Visualization 6 (3), 710-717, 2022",N/A,"Authors : F Marisa, T Uda, AL Maukar, M Andarwati, AR Wardhani, M Handini",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
PERANCANGAN SISTEM INFORMASI PENGENDALIAN PERSEDIAAN PADA USAHA SINGKONG KEJU KANGEN RASA,https://scholar.google.com/scholar?q=+intitle:%27PERANCANGAN%20SISTEM%20INFORMASI%20PENGENDALIAN%20PERSEDIAAN%20PADA%20USAHA%20SINGKONG%20KEJU%20KANGEN%20RASA%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : AR Wardhani, FD Anggraeni, F Marissa, AR Fadhillah",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
A Competitive Advantage Strategy Based on Innovative Culture and Quality of Work Life: Evidence from SMEs of the Tourism Industry in Indonesia,https://scholar.google.com/scholar?q=+intitle:%27A%20Competitive%20Advantage%20Strategy%20Based%20on%20Innovative%20Culture%20and%20Quality%20of%20Work%20Life:%20Evidence%20from%20SMEs%20of%20the%20Tourism%20Industry%20in%20Indonesia%27,"The Journal of Asian Finance, Economics and Business (JAFEB) 9 (8), 29-36, 2022","The Journal of Asian Finance, Economics and Business (JAFEB) 9 (8), 29-36, 2022",N/A,"Authors : A HERMAWATI, C ANAM, S SUWARTA, AR WARDHANI",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
Peningkatan Kapasitas Proses Produksi Ukm Keripik Tempe Melalui Implementasi Mesin Pemotongan Tempe,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Kapasitas%20Proses%20Produksi%20Ukm%20Keripik%20Tempe%20Melalui%20Implementasi%20Mesin%20Pemotongan%20Tempe%27,"Jurnal Aplikasi Dan Inovasi Ipteks Solidas 5 (1), 175-180, 2022","Jurnal Aplikasi Dan Inovasi Ipteks Solidas 5 (1), 175-180, 2022",N/A,"Authors : I Istiadi, AR Wardhani, RA Fadhillah, SR Putri, DRA Wisnu, WY Sari",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
PENILAIAN RESIKO ERGONOMI PADA USAHA BATIK DI OMA DIFFABEL LAWANG,https://scholar.google.com/scholar?q=+intitle:%27PENILAIAN%20RESIKO%20ERGONOMI%20PADA%20USAHA%20BATIK%20DI%20OMA%20DIFFABEL%20LAWANG%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : AR Wardhani, I Istiadi, F Marissa, N Paramita",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
PEMETAAN DAN ANALISIS PERKEMBANGAN BIDANG GAMIFICATION BERBASIS METODE KOMBINASI OPEN KNOWLEDGE MAP DAN VOS VIEWER,https://scholar.google.com/scholar?q=+intitle:%27PEMETAAN%20DAN%20ANALISIS%20PERKEMBANGAN%20BIDANG%20GAMIFICATION%20BERBASIS%20METODE%20KOMBINASI%20OPEN%20KNOWLEDGE%20MAP%20DAN%20VOS%20VIEWER%27,"JIKO (Jurnal Informatika dan Komputer) 6 (2), 194-199, 2022","JIKO (Jurnal Informatika dan Komputer) 6 (2), 194-199, 2022",N/A,"Authors : F Marisa, AR Wardhani, W Purnomowati, AL Maukar",2022,N/A,N/A,ARIE RESTU WARDHANI,5977277,Universitas Widya Gama,S1 - Teknik Industri
