Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
"Analysis of The Influence of Electronic Customer Satisfaction, Application Perceived Value and Electronic Service Quality on Electronic Customer Loyalty of Ruang Guru Application Users",https://garuda.kemdikbud.go.id/documents/detail/3961032,MALCOM: Indonesian Journal of Machine Learning and Computer Science Vol. 4 No. 1 (2024): MALCOM January 202485-91,MALCOM: Indonesian Journal of Machine Learning and Computer Science Vol. 4 No. 1 (2024): MALCOM January 202485-91,Author Order : 4 of 5,MALCOM: Indonesian Journal of Machine Learning and Computer Science Vol. 4 No. 1 (2024): MALCOM January 202485-91,2024,DOI: 10.57152/malcom.v4i1.1028,Accred : Sinta 4,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Penggunaan Teknik Data Mining untuk Analisis Perilaku Pengguna pada Media Sosial,https://garuda.kemdikbud.go.id/documents/detail/4160067,Jurnal Minfo Polgan Vol. 13 No. 1 (2024): Artikel Penelitian1074-1078,Jurnal Minfo Polgan Vol. 13 No. 1 (2024): Artikel Penelitian1074-1078,Author Order : 4 of 5,Jurnal Minfo Polgan Vol. 13 No. 1 (2024): Artikel Penelitian1074-1078,2024,DOI: 10.33395/jmp.v13i1.13936,Accred : Sinta 5,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Analysis Of Perceived Value of Benefit Cash on Delivery Payment Method Customers When Using Digital Wallet Application,https://garuda.kemdikbud.go.id/documents/detail/3873140,"Jurnal Informasi dan Teknologi 2024, Vol. 6, No. 121-28","Jurnal Informasi dan Teknologi 2024, Vol. 6, No. 121-28",Author Order : 4 of 5,"Jurnal Informasi dan Teknologi 2024, Vol. 6, No. 121-28",2024,DOI: 10.60083/jidt.v6i1.467,Accred : Sinta 4,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
PELATIHAN MANAJEMEN PEREKAMAN ARSIP DIGITAL MELALUI GOOGLE DRIVE DAN ONEDRIVE,https://garuda.kemdikbud.go.id/documents/detail/4146898,E-Amal: Jurnal Pengabdian Kepada Masyarakat Vol 4 No 2: Mei-Agustus 2024491-498,E-Amal: Jurnal Pengabdian Kepada Masyarakat Vol 4 No 2: Mei-Agustus 2024491-498,Author Order : 4 of 5,E-Amal: Jurnal Pengabdian Kepada Masyarakat Vol 4 No 2: Mei-Agustus 2024491-498,2024,DOI: 10.47492/eamal.v4i2.3276,Accred : Unknown,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Strategi Pembentukan Eduwisata Pertanian Ramah Lingkungan melalui Focus Group Discussion (FGD),https://garuda.kemdikbud.go.id/documents/detail/4570140,Jurnal Pengabdian kepada Masyarakat Nusantara Vol. 6 No. 1 (2024): Edisi September - Desember 2024526-533,Jurnal Pengabdian kepada Masyarakat Nusantara Vol. 6 No. 1 (2024): Edisi September - Desember 2024526-533,Author Order : 4 of 5,Jurnal Pengabdian kepada Masyarakat Nusantara Vol. 6 No. 1 (2024): Edisi September - Desember 2024526-533,2024,DOI: 10.55338/jpkmn.v6i1.4307,Accred : Sinta 5,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Production Failure: Product Quality Control Review as a Potential Research Activity and Community Service,https://garuda.kemdikbud.go.id/documents/detail/3111142,JATI EMAS (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat) Vol 7 No 1 (2023): Jati Emas (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat)1-8,JATI EMAS (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat) Vol 7 No 1 (2023): Jati Emas (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat)1-8,Author Order : 4 of 5,JATI EMAS (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat) Vol 7 No 1 (2023): Jati Emas (Jurnal Aplikasi Teknik dan Pengabdian Masyarakat)1-8,2023,DOI: 10.36339/je.v7i1.709,Accred : Sinta 5,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
Mamdani Fuzzy Expert System for Online Learning to Diagnose Infectious Diseases,https://garuda.kemdikbud.go.id/documents/detail/3231127,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi) Vol 6 No 6 (2022): Desember 20221047 - 1056,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi) Vol 6 No 6 (2022): Desember 20221047 - 1056,Author Order : 4 of 5,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi) Vol 6 No 6 (2022): Desember 20221047 - 1056,2022,DOI: 10.29207/resti.v6i6.4656,Accred : Sinta 2,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
IDENTIFIKASI KEHANDALAN PEKERJA TANPA GANGGUAN OTOT DALAM PENYIMPANAN CAT TEMBOK,https://garuda.kemdikbud.go.id/documents/detail/2407619,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,Author Order : 4 of 5,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,2021,DOI: 10.36040/industri.v11i1.3410,Accred : Sinta 4,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
"PELATIHAN DAN PENDAMPINGAN PETANI CABAI DALAM PENGOLAHAN CABAI KERING DI DESA BOCEK, KECAMATAN KARANGPLOSO, KABUPATEN MALANG",https://garuda.kemdikbud.go.id/documents/detail/2145410,"Abdimas Galuh Vol 3, No 1 (2021): Maret 2021114-125","Abdimas Galuh Vol 3, No 1 (2021): Maret 2021114-125",Author Order : 4 of 5,"Abdimas Galuh Vol 3, No 1 (2021): Maret 2021114-125",2021,DOI: 10.25157/ag.v3i1.5032,Accred : Sinta 4,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
PENDAMPINGAN MANAJEMEN DAN PENINGKATAN KAPASITAS UMKM KULINER RUMAHAN,https://garuda.kemdikbud.go.id/documents/detail/2609591,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""781-786","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""781-786",Author Order : 4 of 5,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""781-786",2021,DOI: -,Accred : Unknown,EMMA BUDI SULISTIARINI,6104467,Universitas Widya Gama,S1 - Teknik Industri
