Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
"PENYULUHAN DAN PENERAPAN KONSEP UNSAFE ACTION DAN UNSAFE CONDITION PADA BENGKEL LAS GONO DI KELURAHAN DINOYO, KECAMATAN LOWOKWARU, KOTA MALANG",https://garuda.kemdikbud.go.id/documents/detail/2459477,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896",2021,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
PENYULUHAN PENGOLAHAN SAMPAH PLASTIK TERINTEGRASI DI DESA MULYOARJO KECAMATAN LAWANG,https://garuda.kemdikbud.go.id/documents/detail/2459515,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""933-938","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""933-938",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""933-938",2021,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
TANAMAN HIAS SEBAGAI PEREDAM KEBISINGAN,https://garuda.kemdikbud.go.id/documents/detail/810481,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)703-710","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)703-710",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)703-710",2018,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
DRONE UNTUK FOTOGRAFI DAN VIDEOGRAFI BAGI PEGIAT WISATA DESA GUBUGKLAKAH PONCOKUSUMO KABUPATEN MALANG,https://garuda.kemdikbud.go.id/documents/detail/810516,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)305-313","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)305-313",Author Order : 3 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)305-313",2018,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
PENINGKATAN KAPASITAS PRODUKSI SANDAL SEPON MELALUI PENGGUNAAN ALAT PEREKAT LEM BERTENAGA MOTOR LISTRIK,https://garuda.kemdikbud.go.id/documents/detail/461733,DINAMIKA DOTCOM DINAMIKA DOTCOM VOL 7 NO 2 TAHUN 2016,DINAMIKA DOTCOM DINAMIKA DOTCOM VOL 7 NO 2 TAHUN 2016,Author Order : 3 of 4,DINAMIKA DOTCOM DINAMIKA DOTCOM VOL 7 NO 2 TAHUN 2016,2016,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/166107,"Jurnal Transportasi Vol 10, No 2 (2010)","Jurnal Transportasi Vol 10, No 2 (2010)",Author Order : 3 of 4,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: -,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/550611,"Jurnal Transportasi Vol 10, No 2 (2010)","Jurnal Transportasi Vol 10, No 2 (2010)",Author Order : 3 of 4,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: 10.26593/jt.v10i2.388.%p,Accred : Unknown,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
