Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
"Analisis Mesin Mixer Pakan Ternak Dengan Metode Six Big Losses, FMEA dan LTA (Studi Kasus pada Koperasi Agro Niaga Jabung Syariah Unit Sarana Produksi Pakan Ternak-SAPRONAK)","https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Mesin%20Mixer%20Pakan%20Ternak%20Dengan%20Metode%20Six%20Big%20Losses,%20FMEA%20dan%20LTA%20(Studi%20Kasus%20pada%20Koperasi%20Agro%20Niaga%20Jabung%20Syariah%20Unit%20Sarana%20Produksi%20Pakan%20Ternak-SAPRONAK)%27","JURNAL FLYWHEEL 14 (2), 1-10, 2023","JURNAL FLYWHEEL 14 (2), 1-10, 2023",N/A,"Authors : A Hardianto, Y Alvianto",2023,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
PENINGKATAN KUALITAS PENDIDIKAN ANAK BERKEBUTUHAN KHUSUS MELALUI PENDIDIKAN ANAK USIA DINI BERBASIS ALAT PERMAINAN EDUKATIF DI POS PAUD PELANGI KELURAHAN MERGOSONO KECAMATAN …,https://scholar.google.com/scholar?q=+intitle:%27PENINGKATAN%20KUALITAS%20PENDIDIKAN%20ANAK%20BERKEBUTUHAN%20KHUSUS%20MELALUI%20PENDIDIKAN%20ANAK%20USIA%20DINI%20BERBASIS%20ALAT%20PERMAINAN%20EDUKATIF%20DI%20POS%20PAUD%20PELANGI%20KELURAHAN%20MERGOSONO%20KECAMATAN%C2%A0%E2%80%A6%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : S Silviana, A Hardianto, D Hermawan",2022,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
Pengembangan UKM dalam Bidang Pertanian Mikroalga (Spirulina) di Daerah Urban Berbasis Internet of Things (IoT),https://scholar.google.com/scholar?q=+intitle:%27Pengembangan%20UKM%20dalam%20Bidang%20Pertanian%20Mikroalga%20(Spirulina)%20di%20Daerah%20Urban%20Berbasis%20Internet%20of%20Things%20(IoT)%27,"JAST: Jurnal Aplikasi Sains Dan Teknologi 5 (2), 138-147, 2022","JAST: Jurnal Aplikasi Sains Dan Teknologi 5 (2), 138-147, 2022",N/A,"Authors : P Suwandono, G Priyandoko, R Prihandarini, A Hardianto",2022,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
The implementation of anthropometric measurement in designing the ergonomics work furniture,https://scholar.google.com/scholar?q=+intitle:%27The%20implementation%20of%20anthropometric%20measurement%20in%20designing%20the%20ergonomics%20work%20furniture%27,"EUREKA: Physics and Engineering, 20-27, 2022","EUREKA: Physics and Engineering, 20-27, 2022",N/A,"Authors : S Silviana, A Hardianto, D Hermawan",2022,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
"PENGGUNAAN ALAT PANGGANG GAS UNTUK PENINGKATAN PRODUKTIFITAS NASI PANGGANG DI DAPUR MAK E INO DESA SENGGRONG, KEL BULULAWANG, KABUPATEN MALANG","https://scholar.google.com/scholar?q=+intitle:%27PENGGUNAAN%20ALAT%20PANGGANG%20GAS%20UNTUK%20PENINGKATAN%20PRODUKTIFITAS%20NASI%20PANGGANG%20DI%20DAPUR%20MAK%20E%20INO%20DESA%20SENGGRONG,%20KEL%20BULULAWANG,%20KABUPATEN%20MALANG%27","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : D Hermawan, A Hardianto",2022,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
The implementation of value engineering using Zero-one Method to redesign the conventional tool for molding the cassava cracker,https://scholar.google.com/scholar?q=+intitle:%27The%20implementation%20of%20value%20engineering%20using%20Zero-one%20Method%20to%20redesign%20the%20conventional%20tool%20for%20molding%20the%20cassava%20cracker%27,"Journal of Physics: Conference Series 1908 (1), 012029, 2021","Journal of Physics: Conference Series 1908 (1), 012029, 2021",N/A,"Authors : A Hardianto, AR Wardhani, N Fuhaid, D Hermawan, AR Fadhillah",2021,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
PEMASARAN DIGITAL UNTUK PENINGKATAN PRODUKTIFITAS KUE DI UNIESTY CAKE AND COOKIES SINGOSARI,https://scholar.google.com/scholar?q=+intitle:%27PEMASARAN%20DIGITAL%20UNTUK%20PENINGKATAN%20PRODUKTIFITAS%20KUE%20DI%20UNIESTY%20CAKE%20AND%20COOKIES%20SINGOSARI%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021",N/A,"Authors : D Hermawan, A Hardianto, S Silviana",2021,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
"Application of Anthropometry Methods in Ergonomic Chair Redesign to Prevent Fatigue A Case Study UKM Lestari Jaya, Tulungagung","https://scholar.google.com/scholar?q=+intitle:%27Application%20of%20Anthropometry%20Methods%20in%20Ergonomic%20Chair%20Redesign%20to%20Prevent%20Fatigue%20A%20Case%20Study%20UKM%20Lestari%20Jaya,%20Tulungagung%27","IOP Conference Series: Materials Science and Engineering 1071 (1), 012003, 2021","IOP Conference Series: Materials Science and Engineering 1071 (1), 012003, 2021",N/A,"Authors : Silviana, A Hardianto, D Hermawan, Abdurahman",2021,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
Ergonomic risk assessment of the press machine for casava chips in SMEs-Karya Lestari Jaya: A case study,https://scholar.google.com/scholar?q=+intitle:%27Ergonomic%20risk%20assessment%20of%20the%20press%20machine%20for%20casava%20chips%20in%20SMEs-Karya%20Lestari%20Jaya:%20A%20case%20study%27,"Journal of Applied Engineering Science 19 (2), 399-406, 2021","Journal of Applied Engineering Science 19 (2), 399-406, 2021",N/A,"Authors : S Hakim, A Hardianto, N Fuhaid, D Hermawan",2021,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
ANALISIS REDESAIN ALAT CETAK KUE SATU DENGAN METODE ZERO ONE DAN MATRIK EVALUASI,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20REDESAIN%20ALAT%20CETAK%20KUE%20SATU%20DENGAN%20METODE%20ZERO%20ONE%20DAN%20MATRIK%20EVALUASI%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021",N/A,"Authors : S Silviana, A Hardianto, D Hermawan",2021,N/A,N/A,ANDY HARDIANTO,6745431,Universitas Widya Gama,S1 - Teknik Industri
