Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
PERBANDINGAN ALGORITMA NAIVE BAYES DAN KNN DALAM ANALISIS SENTIMEN ULASAN PENGGUNA APLIKASI CAPCUT,https://scholar.google.com/scholar?q=+intitle:%27PERBANDINGAN%20ALGORITMA%20NAIVE%20BAYES%20DAN%20KNN%20DALAM%20ANALISIS%20SENTIMEN%20ULASAN%20PENGGUNA%20APLIKASI%20CAPCUT%27,"Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024","Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024",N/A,"Authors : SNS Muslim, F Nurdiyansyah, AY Rahman",2024,N/A,N/A
Analytical Comparison of Lung Cancer Classification Using K-Nearest Neighbor and Naïve Bayes Algorithms,https://scholar.google.com/scholar?q=+intitle:%27Analytical%20Comparison%20of%20Lung%20Cancer%20Classification%20Using%20K-Nearest%20Neighbor%20and%20Na%C3%AFve%20Bayes%20Algorithms%27,"Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi 9 (1), 75-80, 2024","Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi 9 (1), 75-80, 2024",N/A,"Authors : Y Darmayanti, F Marisa, AY Rahman",2024,N/A,N/A
PELATIHAN DAN PEMANFAATAN WEBSITE SEBAGAI E-COMMERCE PADA UKM BATIK POESAKA DJAGAD DI KOTA MALANG,https://scholar.google.com/scholar?q=+intitle:%27PELATIHAN%20DAN%20PEMANFAATAN%20WEBSITE%20SEBAGAI%20E-COMMERCE%20PADA%20UKM%20BATIK%20POESAKA%20DJAGAD%20DI%20KOTA%20MALANG%27,"Panrita Abdi-Jurnal Pengabdian pada Masyarakat 8 (3), 632-640, 2024","Panrita Abdi-Jurnal Pengabdian pada Masyarakat 8 (3), 632-640, 2024",N/A,"Authors : CF Putri, AY Rahman",2024,N/A,N/A
DETEKSI KESEGERAN IKAN LAYUR BERDASARKAN CITRA MATA MENGGUNAKAN YOLOV8,https://scholar.google.com/scholar?q=+intitle:%27DETEKSI%20KESEGERAN%20IKAN%20LAYUR%20BERDASARKAN%20CITRA%20MATA%20MENGGUNAKAN%20YOLOV8%27,"JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024","JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024",N/A,"Authors : DA Saputra, I Istiadi, AY Rahman",2024,N/A,N/A
KLASIFIKASI TEKS BERITA BREAKING NEWS DI MANGGARAI MENGGUNAKAN LONG SHORT TERM MEMORY (LSTM),https://scholar.google.com/scholar?q=+intitle:%27KLASIFIKASI%20TEKS%20BERITA%20BREAKING%20NEWS%20DI%20MANGGARAI%20MENGGUNAKAN%20LONG%20SHORT%20TERM%20MEMORY%20(LSTM)%27,"Jurnal Mnemonic 7 (2), 170-174, 2024","Jurnal Mnemonic 7 (2), 170-174, 2024",N/A,"Authors : CN Daiman, AY Rahman, F Nudiyansyah",2024,N/A,N/A
"Optimasi Klasifikasi Sentimen Komentar Pengguna Game Bergerak Menggunakan Svm, Grid Search Dan Kombinasi N-Gram","https://scholar.google.com/scholar?q=+intitle:%27Optimasi%20Klasifikasi%20Sentimen%20Komentar%20Pengguna%20Game%20Bergerak%20Menggunakan%20Svm,%20Grid%20Search%20Dan%20Kombinasi%20N-Gram%27","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024",N/A,"Authors : SW Iriananda, RW Budiawan, AY Rahman, I Istiadi",2024,N/A,N/A
Detection of Diseases and Pests on The Leaves of Sweet Potato Plants sing Yolov4,https://scholar.google.com/scholar?q=+intitle:%27Detection%20of%20Diseases%20and%20Pests%20on%20The%20Leaves%20of%20Sweet%20Potato%20Plants%20sing%20Yolov4%27,"Buana Information Technology and Computer Sciences (BIT and CS) 5 (1), 39-44, 2024","Buana Information Technology and Computer Sciences (BIT and CS) 5 (1), 39-44, 2024",N/A,"Authors : AY Rahman, F Marisa",2024,N/A,N/A
Classifying Dental Caries Types Using Panoramic Dental Images Using Watershed Method and Multiclass Support Vector Machine,https://scholar.google.com/scholar?q=+intitle:%27Classifying%20Dental%20Caries%20Types%20Using%20Panoramic%20Dental%20Images%20Using%20Watershed%20Method%20and%20Multiclass%20Support%20Vector%20Machine%27,"ATCSJ (Applied Technology and Computing Science Journal) 6 (12), 2024","ATCSJ (Applied Technology and Computing Science Journal) 6 (12), 2024",N/A,Authors : AYR Rangga Pahlevi Putra,2024,N/A,N/A
Lobster Age Detection Using Digital Video-Based Yolo V8 Algorithm,https://scholar.google.com/scholar?q=+intitle:%27Lobster%20Age%20Detection%20Using%20Digital%20Video-Based%20Yolo%20V8%20Algorithm%27,"Jurnal Teknik Informatika (JUTIF) 5 (4), 1155-1163, 2024","Jurnal Teknik Informatika (JUTIF) 5 (4), 1155-1163, 2024",N/A,"Authors : B Nusman, AY Rahman, R Putra",2024,N/A,N/A
KLASIFIKASI TINGKAT TUTUR BAHASA SASAK BERBASIS TEKS MENGGUNAKAN NAIVE BAYES,https://scholar.google.com/scholar?q=+intitle:%27KLASIFIKASI%20TINGKAT%20TUTUR%20BAHASA%20SASAK%20BERBASIS%20TEKS%20MENGGUNAKAN%20NAIVE%20BAYES%27,"Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024","Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024",N/A,"Authors : RPP Lalu Muhamad Alawi Arrozi, Aviv Yuniar Rahman",2024,N/A,N/A
PERBANDINGAN ALGORITMA NAIVE BAYES DAN KNN DALAM ANALISIS SENTIMEN ULASAN PENGGUNA APLIKASI CAPCUT,https://scholar.google.com/scholar?q=+intitle:%27PERBANDINGAN%20ALGORITMA%20NAIVE%20BAYES%20DAN%20KNN%20DALAM%20ANALISIS%20SENTIMEN%20ULASAN%20PENGGUNA%20APLIKASI%20CAPCUT%27,"Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024","Jurnal Informatika dan Teknik Elektro Terapan 12 (3S1), 2024",N/A,"Authors : SNS Muslim, F Nurdiyansyah, AY Rahman",2024,N/A,N/A
Analytical Comparison of Lung Cancer Classification Using K-Nearest Neighbor and Naïve Bayes Algorithms,https://scholar.google.com/scholar?q=+intitle:%27Analytical%20Comparison%20of%20Lung%20Cancer%20Classification%20Using%20K-Nearest%20Neighbor%20and%20Na%C3%AFve%20Bayes%20Algorithms%27,"Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi 9 (1), 75-80, 2024","Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi 9 (1), 75-80, 2024",N/A,"Authors : Y Darmayanti, F Marisa, AY Rahman",2024,N/A,N/A
PELATIHAN DAN PEMANFAATAN WEBSITE SEBAGAI E-COMMERCE PADA UKM BATIK POESAKA DJAGAD DI KOTA MALANG,https://scholar.google.com/scholar?q=+intitle:%27PELATIHAN%20DAN%20PEMANFAATAN%20WEBSITE%20SEBAGAI%20E-COMMERCE%20PADA%20UKM%20BATIK%20POESAKA%20DJAGAD%20DI%20KOTA%20MALANG%27,"Panrita Abdi-Jurnal Pengabdian pada Masyarakat 8 (3), 632-640, 2024","Panrita Abdi-Jurnal Pengabdian pada Masyarakat 8 (3), 632-640, 2024",N/A,"Authors : CF Putri, AY Rahman",2024,N/A,N/A
DETEKSI KESEGERAN IKAN LAYUR BERDASARKAN CITRA MATA MENGGUNAKAN YOLOV8,https://scholar.google.com/scholar?q=+intitle:%27DETEKSI%20KESEGERAN%20IKAN%20LAYUR%20BERDASARKAN%20CITRA%20MATA%20MENGGUNAKAN%20YOLOV8%27,"JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024","JATI (Jurnal Mahasiswa Teknik Informatika) 8 (5), 10263-10270, 2024",N/A,"Authors : DA Saputra, I Istiadi, AY Rahman",2024,N/A,N/A
"Optimasi Klasifikasi Sentimen Komentar Pengguna Game Bergerak Menggunakan Svm, Grid Search Dan Kombinasi N-Gram","https://scholar.google.com/scholar?q=+intitle:%27Optimasi%20Klasifikasi%20Sentimen%20Komentar%20Pengguna%20Game%20Bergerak%20Menggunakan%20Svm,%20Grid%20Search%20Dan%20Kombinasi%20N-Gram%27","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024","Jurnal Teknologi Informasi dan Ilmu Komputer 11 (4), 743-752, 2024",N/A,"Authors : SW Iriananda, RW Budiawan, AY Rahman, I Istiadi",2024,N/A,N/A
Detection of Diseases and Pests on The Leaves of Sweet Potato Plants sing Yolov4,https://scholar.google.com/scholar?q=+intitle:%27Detection%20of%20Diseases%20and%20Pests%20on%20The%20Leaves%20of%20Sweet%20Potato%20Plants%20sing%20Yolov4%27,"Buana Information Technology and Computer Sciences (BIT and CS) 5 (1), 39-44, 2024","Buana Information Technology and Computer Sciences (BIT and CS) 5 (1), 39-44, 2024",N/A,"Authors : AY Rahman, F Marisa",2024,N/A,N/A
KLASIFIKASI TEKS BERITA BREAKING NEWS DI MANGGARAI MENGGUNAKAN LONG SHORT TERM MEMORY (LSTM),https://scholar.google.com/scholar?q=+intitle:%27KLASIFIKASI%20TEKS%20BERITA%20BREAKING%20NEWS%20DI%20MANGGARAI%20MENGGUNAKAN%20LONG%20SHORT%20TERM%20MEMORY%20(LSTM)%27,"Jurnal Mnemonic 7 (2), 170-174, 2024","Jurnal Mnemonic 7 (2), 170-174, 2024",N/A,"Authors : CN Daiman, AY Rahman, F Nudiyansyah",2024,N/A,N/A
Classifying Dental Caries Types Using Panoramic Dental Images Using Watershed Method and Multiclass Support Vector Machine,https://scholar.google.com/scholar?q=+intitle:%27Classifying%20Dental%20Caries%20Types%20Using%20Panoramic%20Dental%20Images%20Using%20Watershed%20Method%20and%20Multiclass%20Support%20Vector%20Machine%27,"ATCSJ (Applied Technology and Computing Science Journal) 6 (12), 2024","ATCSJ (Applied Technology and Computing Science Journal) 6 (12), 2024",N/A,Authors : AYR Rangga Pahlevi Putra,2024,N/A,N/A
Best Algorithm in Sentiment Analysis of Presidential Election in Indonesia on Twitter,https://scholar.google.com/scholar?q=+intitle:%27Best%20Algorithm%20in%20Sentiment%20Analysis%20of%20Presidential%20Election%20in%20Indonesia%20on%20Twitter%27,"Orig. Res. Pap. Int. J. Intell. Syst. Appl. Eng. IJISAE 2023 (6s), 473-481, 2023","Orig. Res. Pap. Int. J. Intell. Syst. Appl. Eng. IJISAE 2023 (6s), 473-481, 2023",N/A,"Authors : AL Hananto, AP Nardilasari, A Fauzi, A Hananto, B Priyatna, AY Rahman",2023,N/A,N/A
Fertilizer Quality Detection For Purple Sweet Potato Plants Using YOLOv4-Tiny,https://scholar.google.com/scholar?q=+intitle:%27Fertilizer%20Quality%20Detection%20For%20Purple%20Sweet%20Potato%20Plants%20Using%20YOLOv4-Tiny%27,"2023 International Seminar on Application for Technology of Information and …, 2023","2023 International Seminar on Application for Technology of Information and …, 2023",N/A,"Authors : RI Rovita, AY Rahman, Istiadi",2023,N/A,N/A
"HUBUNGAN WAKTU RETURN TO SPORT DAN KEKUATAN OTOT DENGAN FUNGSI LUTUT DAN DAYA TAHAN OTOT PASCA ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION: Pendahuluan, Metode Penelitian, Hasil …","https://scholar.google.com/scholar?q=+intitle:%27HUBUNGAN%20WAKTU%20RETURN%20TO%20SPORT%20DAN%20KEKUATAN%20OTOT%20DENGAN%20FUNGSI%20LUTUT%20DAN%20DAYA%20TAHAN%20OTOT%20PASCA%20ANTERIOR%20CRUCIATE%20LIGAMENT%20RECONSTRUCTION:%20Pendahuluan,%20Metode%20Penelitian,%20Hasil%C2%A0%E2%80%A6%27","Kinesiology and Physiotherapy Comprehensive 2 (2), 57-62, 2023","Kinesiology and Physiotherapy Comprehensive 2 (2), 57-62, 2023",N/A,"Authors : IDAAF Putri, I Kurniawati, IPYP Putra",2023,N/A,N/A
Children with Speech Disorders Voice Classification: LSTM and BiLSTM Approach Based on MFCC Features,https://scholar.google.com/scholar?q=+intitle:%27Children%20with%20Speech%20Disorders%20Voice%20Classification:%20LSTM%20and%20BiLSTM%20Approach%20Based%20on%20MFCC%20Features%27,"2023 International Conference on Modeling & E-Information Research …, 2023","2023 International Conference on Modeling & E-Information Research …, 2023",N/A,"Authors : DB Riyanto, AY Rahman, Istiadi",2023,N/A,N/A
Classification Facial Expressions of Children with Special Needs Using CNN,https://scholar.google.com/scholar?q=+intitle:%27Classification%20Facial%20Expressions%20of%20Children%20with%20Special%20Needs%20Using%20CNN%27,"2023 International Seminar on Intelligent Technology and Its Applications …, 2023","2023 International Seminar on Intelligent Technology and Its Applications …, 2023",N/A,"Authors : RTL Da Silva, AY Rahman, F Marisa",2023,N/A,N/A
