Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Developing adjustable stiffness for smart material of magnetorheological elastomer to diminish vibration,https://garuda.kemdikbud.go.id/documents/detail/3962497,"SINERGI Vol 28, No 1 (2024)163-168","SINERGI Vol 28, No 1 (2024)163-168",Author Order : 2 of 5,"SINERGI Vol 28, No 1 (2024)163-168",2024,DOI: 10.22441/sinergi.2024.1.016,Accred : Sinta 1,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Developing adjustable stiffness for smart material of magnetorheological elastomer to diminish vibration,https://garuda.kemdikbud.go.id/documents/detail/3962497,"SINERGI Vol 28, No 1 (2024)163-168","SINERGI Vol 28, No 1 (2024)163-168",Author Order : 2 of 5,"SINERGI Vol 28, No 1 (2024)163-168",2024,DOI: 10.22441/sinergi.2024.1.016,Accred : Sinta 1,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Pemanfaatan dinding sebagai permukaan kondensasi untuk meningkatkan kinerja solar still double slope,https://garuda.kemdikbud.go.id/documents/detail/3508648,"TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO","TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO",Author Order : 2 of 5,"TURBO [Tulisan Riset Berbasis Online] Vol 12, No 1 (2023): Jurnal TURBO",2023,DOI: 10.24127/trb.v12i1.2439,Accred : Sinta 3,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Add-On Energy Harvesting of Diesel Exhaust Muffler Using Thermoelectric Generator,https://garuda.kemdikbud.go.id/documents/detail/3582967,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE10-21","JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE10-21",Author Order : 2 of 5,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE10-21",2023,DOI: 10.31328/jsae.v6i1.4663,Accred : Sinta 4,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Semi-automatic of steer by wire system using fuzzy logic control and swarm optimization,https://garuda.kemdikbud.go.id/documents/detail/3734610,"International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 14, No 3: September 20231394-1402","International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 14, No 3: September 20231394-1402",Author Order : 2 of 5,"International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 14, No 3: September 20231394-1402",2023,DOI: 10.11591/ijpeds.v14.i3.pp1394-1402,Accred : Unknown,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Pengaruh Penambahan Media Pendingin Nitrogen Pada Dinding untuk Menigkatkan Kinerja Solar Still Double Slope (Energi Dan Eksergi),https://garuda.kemdikbud.go.id/documents/detail/3750374,JURNAL FLYWHEEL Vol 14 No 2 (2023): Jurnal Flywheel19-28,JURNAL FLYWHEEL Vol 14 No 2 (2023): Jurnal Flywheel19-28,Author Order : 2 of 5,JURNAL FLYWHEEL Vol 14 No 2 (2023): Jurnal Flywheel19-28,2023,DOI: 10.36040/flywheel.v14i2.7318,Accred : Sinta 6,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Investigation of Performance of Stone Fin Solar Still Absorber by Water Depth Variations.,https://garuda.kemdikbud.go.id/documents/detail/3788181,"Aceh International Journal of Science and Technology Vol 12, No 2 (2023): August 2023159-170","Aceh International Journal of Science and Technology Vol 12, No 2 (2023): August 2023159-170",Author Order : 2 of 5,"Aceh International Journal of Science and Technology Vol 12, No 2 (2023): August 2023159-170",2023,DOI: 10.13170/aijst.12.2.27188,Accred : Sinta 2,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Implementasi Pompa Hidram di Desa Ngadireso Kabupaten Malang,https://garuda.kemdikbud.go.id/documents/detail/3814819,"JAST : Jurnal Aplikasi Sains dan Teknologi Vol 7, No 1 (2023): EDISI JUNI 2023 (Article in Progress)1-11","JAST : Jurnal Aplikasi Sains dan Teknologi Vol 7, No 1 (2023): EDISI JUNI 2023 (Article in Progress)1-11",Author Order : 2 of 5,"JAST : Jurnal Aplikasi Sains dan Teknologi Vol 7, No 1 (2023): EDISI JUNI 2023 (Article in Progress)1-11",2023,DOI: 10.33366/jast.v7i1.4279,Accred : Sinta 4,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Optimization of Condenser Backwash Method to Maintain Condenser Performance During the Backwash Process in PLTGU Grati,https://garuda.kemdikbud.go.id/documents/detail/2610095,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE43-53","JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE43-53",Author Order : 2 of 5,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE43-53",2022,DOI: 10.31328/jsae.v5i1.3579,Accred : Sinta 4,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
The cascade optimal control of steer by wire system using hardware in the loop simulations,https://garuda.kemdikbud.go.id/documents/detail/2603626,"International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 13, No 2: June 2022764-772","International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 13, No 2: June 2022764-772",Author Order : 2 of 5,"International Journal of Power Electronics and Drive Systems (IJPEDS) Vol 13, No 2: June 2022764-772",2022,DOI: 10.11591/ijpeds.v13.i2.pp764-772,Accred : Unknown,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
