Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Children with Speech Disorders Voice Classification: LSTM and BiLSTM Approach Based on MFCC Features,https://www.scopus.com/record/display.uri?eid=2-s2.0-85189759733&origin=resultslist,"Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif","Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif",Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Improvement of Starling Image Classification with Gabor and Wavelet Based on Artificial Neural Network,https://www.scopus.com/record/display.uri?eid=2-s2.0-85181914487&origin=resultslist,International Journal on Informatics Visualization,International Journal on Informatics Visualization,Author Order : 3 of 3,N/A,2023,N/A,Q3 as Journal
Fertilizer Quality Detection For Purple Sweet Potato Plants Using YOLOv4-Tiny,https://www.scopus.com/record/display.uri?eid=2-s2.0-85178010633&origin=resultslist,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,2023 International Seminar on Application for Technology of Information and Communication: Smart Tec,Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Quality Detection of Export Purple Sweet Potatoes Using Yolov4-Tiny,https://www.scopus.com/record/display.uri?eid=2-s2.0-85171178912&origin=resultslist,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,2023 International Seminar on Intelligent Technology and Its Applications: Leveraging Intelligent Sy,Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Fault Detection of Oil Palm Harvesting Using Yolo V4,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163090487&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Detection of Tempeh Maturity Quality Using YOLO Tiny V4,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163101867&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Voice Classification of Children with Speech Impairment Using MFCC Kernel-Based SVM,https://www.scopus.com/record/display.uri?eid=2-s2.0-85163125152&origin=resultslist,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering","ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering",Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Video-Based Lobster Species Identification Using YOLOv7,https://www.scopus.com/record/display.uri?eid=2-s2.0-85189748452&origin=resultslist,"Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif","Proceedings: ICMERALDA 2023 - International Conference on Modeling and E-Information Research, Artif",Author Order : 3 of 3,N/A,2023,N/A,no-Q as Conference Proceedin
Rule-Based Control Strategy for Tempe Fermentation Incubator with Internet of Things Monitoring,https://www.scopus.com/record/display.uri?eid=2-s2.0-85180527393&origin=resultslist,"ICSEC 2022 - 4th International Conference on Sustainable Engineering and Creative Computing, Proceed","ICSEC 2022 - 4th International Conference on Sustainable Engineering and Creative Computing, Proceed",Author Order : 3 of 3,N/A,2022,N/A,no-Q as Conference Proceedin
An Integrated E-Learning Fuzzy Expert System for Acute Pharyngitis Diagnosis,https://www.scopus.com/record/display.uri?eid=2-s2.0-85150431719&origin=resultslist,"Proceeding - 6th International Conference on Information Technology, Information Systems and Electri","Proceeding - 6th International Conference on Information Technology, Information Systems and Electri",Author Order : 3 of 3,N/A,2022,N/A,no-Q as Conference Proceedin
