Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
IDENTIFYING ENHANCEMENT OF DOUBLE SLOPE SOLAR STILL PERFORMANCE BY ADDING WATER COOLING TO WALLS,https://www.scopus.com/record/display.uri?eid=2-s2.0-85200266769&origin=resultslist,Eastern-European Journal of Enterprise Technologies,Eastern-European Journal of Enterprise Technologies,Author Order : 2 of 4,N/A,2024,N/A,Q3 as Journal,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Developing adjustable stiffness for smart material of magnetorheological elastomer to diminish vibration,https://www.scopus.com/record/display.uri?eid=2-s2.0-85182489185&origin=resultslist,Sinergi (Indonesia),Sinergi (Indonesia),Author Order : 2 of 4,N/A,2024,N/A,Q4 as Journal,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Semi-automatic of steer by wire system using fuzzy logic control and swarm optimization,https://www.scopus.com/record/display.uri?eid=2-s2.0-85167623540&origin=resultslist,International Journal of Power Electronics and Drive Systems,International Journal of Power Electronics and Drive Systems,Author Order : 2 of 4,N/A,2023,N/A,Q2 as Journal,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Effect of Hot Cylinder Materials on Gamma-Type Stirling Engine Performance Using Solar Dish Concentrator,https://www.scopus.com/record/display.uri?eid=2-s2.0-85140431602&origin=resultslist,Lecture Notes in Mechanical Engineering,Lecture Notes in Mechanical Engineering,Author Order : 2 of 4,N/A,2023,N/A,Q4 as Book Series,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
The cascade optimal control of steer by wire system using hardware in the loop simulations,https://www.scopus.com/record/display.uri?eid=2-s2.0-85130325228&origin=resultslist,International Journal of Power Electronics and Drive Systems,International Journal of Power Electronics and Drive Systems,Author Order : 2 of 4,N/A,2022,N/A,Q2 as Journal,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
DEVELOPMENT of VIBRATION ISOLATOR USING MAGNETORHEOLOGICAL ELASTOMER,https://www.scopus.com/record/display.uri?eid=2-s2.0-85122065380&origin=resultslist,Journal of Applied Engineering Science,Journal of Applied Engineering Science,Author Order : 2 of 4,N/A,2021,N/A,Q2 as Journal,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Development of Vibration Isolator Magnetorheological Elastomer Based,https://www.scopus.com/record/display.uri?eid=2-s2.0-85111147370&origin=resultslist,Journal of Physics: Conference Series,Journal of Physics: Conference Series,Author Order : 2 of 4,N/A,2021,N/A,Q4 as Conference Proceedin,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Simulation model of vertical water wheel performance flow,https://www.scopus.com/record/display.uri?eid=2-s2.0-85079596196&origin=resultslist,IOP Conference Series: Materials Science and Engineering,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,N/A,2020,N/A,Q4 as Conference Proceedin,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
Performance of turmeric dryer cabinets with LPG fuel using temperature control and air speed,https://www.scopus.com/record/display.uri?eid=2-s2.0-85054791867&origin=resultslist,IOP Conference Series: Materials Science and Engineering,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,N/A,2018,N/A,Q3 as Conference Proceedin,PURBO SUWANDONO,6663726,Universitas Widya Gama,S1 - Teknik Mesin
