Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
IDENTIFYING ENHANCEMENT OF DOUBLE SLOPE SOLAR STILL PERFORMANCE BY ADDING WATER COOLING TO WALLS,https://www.scopus.com/record/display.uri?eid=2-s2.0-85200266769&origin=resultslist,Eastern-European Journal of Enterprise Technologies,Eastern-European Journal of Enterprise Technologies,Author Order : 1 of 4,N/A,2024,N/A,Q3 as Journal,NOVA RISDIYANTO ISMAIL,5989963,Universitas Widya Gama,S1 - Teknik Mesin
The effect of water salinity and radiation intensity to the temperature distribution and evaporation rate inside porous media,https://www.scopus.com/record/display.uri?eid=2-s2.0-85104958911&origin=resultslist,Tehnicki Vjesnik,Tehnicki Vjesnik,Author Order : 1 of 4,N/A,2021,N/A,Q3 as Journal,NOVA RISDIYANTO ISMAIL,5989963,Universitas Widya Gama,S1 - Teknik Mesin
The influence of pores size and type of aggregate on capillary heat and mass transfer in porous,https://www.scopus.com/record/display.uri?eid=2-s2.0-85065294534&origin=resultslist,Journal of Applied Engineering Science,Journal of Applied Engineering Science,Author Order : 1 of 4,N/A,2019,N/A,Q3 as Journal,NOVA RISDIYANTO ISMAIL,5989963,Universitas Widya Gama,S1 - Teknik Mesin
The influence of pores size and type of aggregate on liquid mass transfer in porous media,https://www.scopus.com/record/display.uri?eid=2-s2.0-85055924977&origin=resultslist,Journal of Engineering and Applied Sciences,Journal of Engineering and Applied Sciences,Author Order : 1 of 4,N/A,2018,N/A,no-Q as Journal,NOVA RISDIYANTO ISMAIL,5989963,Universitas Widya Gama,S1 - Teknik Mesin
