Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
STUDI KESEHATAN DAN KESELAMATAN KERJA PEMELIHARAAN JALAN DENGAN METODE HAZARD ANALYSIS,https://garuda.kemdikbud.go.id/documents/detail/2459494,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""603-610",2020,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""603-610",N/A,N/A
ANALISIS KERUSAKAN JALAN MENGGUNAKAN METODE PAVEMENT CONDITION INDEX (PCI) DAN SURFACE DISTRESS INDEK (SDI),https://garuda.kemdikbud.go.id/documents/detail/1630682,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 355-362",2019,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 355-362",N/A,N/A
ANALISIS DISAIN PERKERASAN JALAN DENGAN METODE BATAS KAPASITAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/1252228,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 269-274",2019,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 269-274",N/A,N/A
PENINGKATAN PRODUKSI INDUSTRI KERAJINAN KERAMIK DENGAN BLAYER ELEKTRIK,https://garuda.kemdikbud.go.id/documents/detail/810492,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)295-304",2018,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)295-304",N/A,N/A
ANALISIS PERBANDINGAN NILAI CESA KENDARAAN BERAT ANTARA MUATAN KOSONG DENGAN MUATAN STANDAR,https://garuda.kemdikbud.go.id/documents/detail/810512,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)530-537",2018,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)530-537",N/A,N/A
Analysis of Road Surface Defects Using Road Condition Index Method on the Caruban-Ngawi Road Segment,https://garuda.kemdikbud.go.id/documents/detail/933286,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 1, No 2 (2018): JSAE",2018,DOI: 10.31328/jsae.v1i2.887,Author Order : 1 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 1, No 2 (2018): JSAE",N/A,N/A
ANALISIS PEMBEBANAN JARINGAN JALAN (TRIP ASSIGNMENT) PADA KORIDOR MALANG-SURABAYA,https://garuda.kemdikbud.go.id/documents/detail/281891,Accred : Unknown,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",2013,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",N/A,N/A
PENGGUNAAN ASBUTON LAWELE DENGAN BAHAN ADDITIF OLI BEKAS KENDARAAN UNTUK MENINGKATKAN STABILITAS BETON ASPAL,https://garuda.kemdikbud.go.id/documents/detail/281892,Accred : Unknown,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",2013,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",N/A,N/A
ANALISIS SELA KRITIS (CRITICAL GAP) ARUS LALU LINTAS PADA SIMPANG TAK BERSINYAL,https://garuda.kemdikbud.go.id/documents/detail/114513,Accred : Unknown,"WIDYA TEKNIKA Vol 19, No 1: MARET 2011",2011,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 19, No 1: MARET 2011",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/166039,Accred : Unknown,"Jurnal Transportasi Vol 10, No 1 (2010)",2010,DOI: -,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 1 (2010)",N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/166107,Accred : Unknown,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: -,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 2 (2010)",N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/550611,Accred : Unknown,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: 10.26593/jt.v10i2.388.%p,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 2 (2010)",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/551507,Accred : Unknown,"Jurnal Transportasi Vol 10, No 1 (2010)",2010,DOI: 10.26593/jt.v10i1.377.%p,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 1 (2010)",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/1156001,Accred : Unknown,Jurnal Transportasi Vol. 10 No. 1 (2010),2010,DOI: 10.26593/jtrans.v10i1.377.%p,Author Order : 1 of 3,Jurnal Transportasi Vol. 10 No. 1 (2010),N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/1155637,Accred : Unknown,Jurnal Transportasi Vol. 10 No. 2 (2010),2010,DOI: 10.26593/jtrans.v10i2.388.%p,Author Order : 1 of 3,Jurnal Transportasi Vol. 10 No. 2 (2010),N/A,N/A
