Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
PELATIHAN DAN PENDAMPINGAN PENERAPAN ALAT PARUT DAN PEMERAS REMPAH UMKM MINUMAN HERBAL,https://garuda.kemdikbud.go.id/documents/detail/4438945,Abdi Masya Vol 5 No 132-38,Abdi Masya Vol 5 No 132-38,Author Order : 1 of 4,Abdi Masya Vol 5 No 132-38,2024,DOI: 10.52561/abdimasya.v5i1.361,Accred : Sinta 5,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
DESAIN ALAT PENGERING PRODUK OLAHAN PISANG DENGAN PENDEKATAN QUALITY FUNCTION DEPLOYMENT (QFD),https://garuda.kemdikbud.go.id/documents/detail/4528993,"Prosidia Widya Saintek Vol 3, No 2 (2024)301-308","Prosidia Widya Saintek Vol 3, No 2 (2024)301-308",Author Order : 1 of 4,"Prosidia Widya Saintek Vol 3, No 2 (2024)301-308",2024,DOI: -,Accred : Unknown,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Peningkatan Standarisasi Kualitas Pupuk dan Ubi Berbasis Sistem Cerdas,https://garuda.kemdikbud.go.id/documents/detail/3293226,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,Author Order : 1 of 4,Jurnal Abdimas Mahakam Vol. 7 No. 01 (2023): Abdimas Mahakam77-83,2023,DOI: 10.24903/jam.v7i01.1919,Accred : Sinta 4,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Redesign of Facilities Layout Using Computerized Relationship Planning (CORELAP) and Computerized Relative Allocation of Facilities Techniques (CRAFT) Methods,https://garuda.kemdikbud.go.id/documents/detail/3582973,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE38-49","JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE38-49",Author Order : 1 of 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 6, No 1 (2023): JSAE38-49",2023,DOI: 10.31328/jsae.v6i1.4739,Accred : Sinta 4,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
PENINGKATAN MANAJEMEN KEUANGAN DAN PEMASARAN PADA UKM UBI JALAR BERBASIS WEB,https://garuda.kemdikbud.go.id/documents/detail/3568147,Jurnal Pengabdian Masyarakat Multidisiplin Vol 6 No 3 (2023): Juni242-247,Jurnal Pengabdian Masyarakat Multidisiplin Vol 6 No 3 (2023): Juni242-247,Author Order : 1 of 4,Jurnal Pengabdian Masyarakat Multidisiplin Vol 6 No 3 (2023): Juni242-247,2023,DOI: 10.36341/jpm.v6i3.3115,Accred : Sinta 5,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Pelatihan dan Pendampingan Pembuatan Akun E-commerce Guna Menunjang Transformasi Digital UKM Minuman Herbal di Kec. Wonokromo,https://garuda.kemdikbud.go.id/documents/detail/3833616,"Jurnal Pengabdian Masyarakat dan aplikasi Teknologi (Adipati) Vol 2, No 2 (2023)94-99","Jurnal Pengabdian Masyarakat dan aplikasi Teknologi (Adipati) Vol 2, No 2 (2023)94-99",Author Order : 1 of 4,"Jurnal Pengabdian Masyarakat dan aplikasi Teknologi (Adipati) Vol 2, No 2 (2023)94-99",2023,DOI: -,Accred : Unknown,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Pelatihan dan Pendampingan Pembuatan Akun E-commerce Guna Menunjang Transformasi Digital UKM Minuman Herbal di Kec. Wonokromo,https://garuda.kemdikbud.go.id/documents/detail/4398018,"Jurnal Pengabdian Masyarakat dan aplikasi Teknologi Vol 2, No 2 (2023)94-99","Jurnal Pengabdian Masyarakat dan aplikasi Teknologi Vol 2, No 2 (2023)94-99",Author Order : 1 of 4,"Jurnal Pengabdian Masyarakat dan aplikasi Teknologi Vol 2, No 2 (2023)94-99",2023,DOI: 10.31284/j.adipati.2023.v2i2.4913,Accred : Unknown,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Implementation of Batik Dyeing Tools to Increase the Productivity of the Coloring Process in Batik SMEs,https://garuda.kemdikbud.go.id/documents/detail/3598293,IJCS: International Journal of Community Service Vol. 2 No. 1 (2023): IJCS: International Journal of Community Service57-65,IJCS: International Journal of Community Service Vol. 2 No. 1 (2023): IJCS: International Journal of Community Service57-65,Author Order : 1 of 4,IJCS: International Journal of Community Service Vol. 2 No. 1 (2023): IJCS: International Journal of Community Service57-65,2023,DOI: 10.55299/ijcs.v2i1.395,Accred : Unknown,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
Counseling and application of personal protective equipment to reduce work accidents in welding workshops,https://garuda.kemdikbud.go.id/documents/detail/2930126,"Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang Vol 7, No 3 (2022): August 2022460-470","Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang Vol 7, No 3 (2022): August 2022460-470",Author Order : 1 of 4,"Abdimas: Jurnal Pengabdian Masyarakat Universitas Merdeka Malang Vol 7, No 3 (2022): August 2022460-470",2022,DOI: 10.26905/abdimas.v7i3.7016,Accred : Sinta 3,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
"PENYULUHAN DAN PENERAPAN KONSEP UNSAFE ACTION DAN UNSAFE CONDITION PADA BENGKEL LAS GONO DI KELURAHAN DINOYO, KECAMATAN LOWOKWARU, KOTA MALANG",https://garuda.kemdikbud.go.id/documents/detail/2459477,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896","Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896",Author Order : 1 of 4,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""889-896",2021,DOI: -,Accred : Unknown,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
IDENTIFIKASI KEHANDALAN PEKERJA TANPA GANGGUAN OTOT DALAM PENYIMPANAN CAT TEMBOK,https://garuda.kemdikbud.go.id/documents/detail/2407619,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,Author Order : 3 of 3,Industri Inovatif : Jurnal Teknik Industri Vol 11 No 1 (2021): Inovatif Vol. 11 No. 122-30,2021,DOI: 10.36040/industri.v11i1.3410,Accred : Sinta 4,CHAULIAH FATMA PUTRI,5981061,Universitas Widya Gama,S1 - Teknik Industri
