Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Tanaman Hias Sebagai Peredam Kebisingan,https://scholar.google.com/scholar?q=+intitle:%27Tanaman%20Hias%20Sebagai%20Peredam%20Kebisingan%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018",N/A,"Authors : N Tjahjono, I Nugroho",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Peningkatan Grade Kain Sarung dengan Mengurangi Cacat Menggunakan Metode Kaizen dan Siklus PDCA pada PT. X,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Grade%20Kain%20Sarung%20dengan%20Mengurangi%20Cacat%20Menggunakan%20Metode%20Kaizen%20dan%20Siklus%20PDCA%20pada%20PT.%20X%27,"Jurnal WIDYA TEKNIKA ISSN (p) 1411, 0660, 2018","Jurnal WIDYA TEKNIKA ISSN (p) 1411, 0660, 2018",N/A,"Authors : MS Arif, CF Putri, N Tjahjono",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Drone untuk Fotografi dan Videografi bagi Pegiat Wisata Desa Gubugklakah Poncokusumo Kabupaten Malang,https://scholar.google.com/scholar?q=+intitle:%27Drone%20untuk%20Fotografi%20dan%20Videografi%20bagi%20Pegiat%20Wisata%20Desa%20Gubugklakah%20Poncokusumo%20Kabupaten%20Malang%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018",N/A,"Authors : F Rofii, F Hunaini, N Tjahjono, MI Fanani",2018,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Rancang Bangun Aplikasi Dekstop Untuk Pengelolaan Taman Pendidikan Al-qur'an,https://scholar.google.com/scholar?q=+intitle:%27Rancang%20Bangun%20Aplikasi%20Dekstop%20Untuk%20Pengelolaan%20Taman%20Pendidikan%20Al-qur%27an%27,"Jurnal Teknologi Informasi: Teori, Konsep, dan Implementasi 8 (1), 1-84, 2017","Jurnal Teknologi Informasi: Teori, Konsep, dan Implementasi 8 (1), 1-84, 2017",N/A,"Authors : F Rofii, M Mukhsim, N Tjahjono, DM Mukhtar",2017,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Rancang Bangun Aplikasi Dekstop Untuk Pengelolaan Taman Pendidikan Al-qur’an,https://scholar.google.com/scholar?q=+intitle:%27Rancang%20Bangun%20Aplikasi%20Dekstop%20Untuk%20Pengelolaan%20Taman%20Pendidikan%20Al-qur%E2%80%99an%27,"Jurnal Teknologi Informasi: Teori, Konsep, dan Implementasi 8 (1), 1-84, 2017","Jurnal Teknologi Informasi: Teori, Konsep, dan Implementasi 8 (1), 1-84, 2017",N/A,"Authors : F Rofii, M Mukhsim, N Tjahjono, DM Mukhtar",2017,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Peningkatan Kapasitas Produksi Sandal Sepon Melalui Penggunaan Alat Perekat Lem Bertenaga Motor Listrik,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Kapasitas%20Produksi%20Sandal%20Sepon%20Melalui%20Penggunaan%20Alat%20Perekat%20Lem%20Bertenaga%20Motor%20Listrik%27,"Dinamika Dotcom: Jurnal Pengembangan Manajemen Informatika dan Komputer, 2016","Dinamika Dotcom: Jurnal Pengembangan Manajemen Informatika dan Komputer, 2016",N/A,"Authors : F Rofii, D Hermawan, N Tjahjono",2016,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
"PENGARUH GRANULATED BLAST FURNACE SLAG DALAM SEMEN TERHADAP KAPASITAS PRODUKSI, KUAT TEKAN MORTAR DAN NILAI EKONOMIS Studi Kasus di PT Semen Indonesia (Persero) Tbk","https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20GRANULATED%20BLAST%20FURNACE%20SLAG%20DALAM%20SEMEN%20TERHADAP%20KAPASITAS%20PRODUKSI,%20KUAT%20TEKAN%20MORTAR%20DAN%20NILAI%20EKONOMIS%20Studi%20Kasus%20di%20PT%20Semen%20Indonesia%20(Persero)%20Tbk%27","Widya Teknika 24 (2), 2016","Widya Teknika 24 (2), 2016",N/A,"Authors : N Tjahjono, CF Putri",2016,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Perancangan Sistem Pengukuran Kinerja Rumah Sakit Ramah Lingkungan (Green Hospital) dengan Metode Performance Prism,https://scholar.google.com/scholar?q=+intitle:%27Perancangan%20Sistem%20Pengukuran%20Kinerja%20Rumah%20Sakit%20Ramah%20Lingkungan%20(Green%20Hospital)%20dengan%20Metode%20Performance%20Prism%27,"Jurnal Ilmiah Teknik Industri 2 (1), 2014","Jurnal Ilmiah Teknik Industri 2 (1), 2014",N/A,"Authors : CF Putri, N Tjahjono",2014,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Identifikasi Bullwhip Effect Produk Pmi Pada Distributor Kalimantan Di PT. As Purwosari,https://scholar.google.com/scholar?q=+intitle:%27Identifikasi%20Bullwhip%20Effect%20Produk%20Pmi%20Pada%20Distributor%20Kalimantan%20Di%20PT.%20As%20Purwosari%27,"JEMIS (Journal of Engineering & Management in Industrial System) 2 (2), 2014","JEMIS (Journal of Engineering & Management in Industrial System) 2 (2), 2014",N/A,"Authors : W Wijiningsih, EB Sulistiarini, N Tjahjono",2014,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Perancangan Sistem Pengukuran Kinerja Rumah Sakit Ramah Lingkungan (Green Hospital) Dengan Metode Performance Prism,https://scholar.google.com/scholar?q=+intitle:%27Perancangan%20Sistem%20Pengukuran%20Kinerja%20Rumah%20Sakit%20Ramah%20Lingkungan%20(Green%20Hospital)%20Dengan%20Metode%20Performance%20Prism%27,"Universitas Widyagama. Malang, 2013","Universitas Widyagama. Malang, 2013",N/A,"Authors : CF Putri, N Tjahjono",2013,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
A confirmatory factor analysis of accidents caused by the motorcycle aspect in urban area,https://scholar.google.com/scholar?q=+intitle:%27A%20confirmatory%20factor%20analysis%20of%20accidents%20caused%20by%20the%20motorcycle%20aspect%20in%20urban%20area%27,"International Journal for Traffic and Transport Engineering 2 (1), 60-69, 2012","International Journal for Traffic and Transport Engineering 2 (1), 60-69, 2012",N/A,"Authors : A Suraji, N Tjahjono",2012,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Analisis Faktor Kendaraan Sepeda Motor Terhadap Risiko Kecelakaan Lalu Lintas,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Faktor%20Kendaraan%20Sepeda%20Motor%20Terhadap%20Risiko%20Kecelakaan%20Lalu%20Lintas%27,"Jurnal Transportasi. Simposium XIII, Semarang: FSTPT","Jurnal Transportasi. Simposium XIII, Semarang: FSTPT",N/A,"Authors : A Suraji, N Tjahjono, PT Widodo",2010,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Indikator faktor manusia terhadap kecelakaan sepeda motor,https://scholar.google.com/scholar?q=+intitle:%27Indikator%20faktor%20manusia%20terhadap%20kecelakaan%20sepeda%20motor%27,"Jurnal Transportasi 10 (2), 2010","Jurnal Transportasi 10 (2), 2010",N/A,"Authors : A Suraji, M Cakrawala, N Tjahjono, SB Effendy",2010,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Analisis factor kendaraan sepeda motor terhadap resiko kecelakaan lalu lintas,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20factor%20kendaraan%20sepeda%20motor%20terhadap%20resiko%20kecelakaan%20lalu%20lintas%27,"Universitas katolik soegijapranata semarang, 2010","Universitas katolik soegijapranata semarang, 2010",N/A,"Authors : A Suraji, N Tjahjono, PT Widodo",2010,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
Contributor Vol 4-2021,https://scholar.google.com/scholar?q=+intitle:%27Contributor%20Vol%204-2021%27,,,N/A,"Authors : MR Hussain, MM Khan, R Rokhim, IAN Saskara, A Rahim, AT Nugraha, ...",0000,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
"Traffic Noise Level Assessment in the Residential Area around Different Road Functions in Malang City, East Java, Indonesia","https://scholar.google.com/scholar?q=+intitle:%27Traffic%20Noise%20Level%20Assessment%20in%20the%20Residential%20Area%20around%20Different%20Road%20Functions%20in%20Malang%20City,%20East%20Java,%20Indonesia%27",,,N/A,"Authors : N Tjahjono, I Hanafi, L Latipun, S Suyadi",0000,N/A,N/A,NGUDI TJAHJONO,6655997,Universitas Widya Gama,S1 - Teknik Industri
