Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
The Effect Of Leadership Control Effectiveness On Employee Performance In The Office Of The Regional Technical Service Unit (Uptd) Cimahi City,https://www.scopus.com/record/display.uri?eid=2-s2.0-85142018335&origin=resultslist,Res Militaris,Res Militaris,Author Order : 5 of 5,N/A,2022,N/A,no-Q as Journal,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
THE IMPLEMENTATION OF ANTHROPOMETRIC MEASUREMENT IN DESIGNING THE ERGONOMICS WORK FURNITURE,https://www.scopus.com/record/display.uri?eid=2-s2.0-85134900184&origin=resultslist,"EUREKA, Physics and Engineering","EUREKA, Physics and Engineering",Author Order : 5 of 5,N/A,2022,N/A,Q3 as Journal,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Designing the ergonomic press and molding machine of cassava chips for sustainable development in smes,https://www.scopus.com/record/display.uri?eid=2-s2.0-85112113318&origin=resultslist,Pertanika Journal of Science and Technology,Pertanika Journal of Science and Technology,Author Order : 5 of 5,N/A,2021,N/A,Q3 as Journal,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
The implementation of value engineering using Zero-one Method to redesign the conventional tool for molding the cassava cracker,https://www.scopus.com/record/display.uri?eid=2-s2.0-85111087862&origin=resultslist,Journal of Physics: Conference Series,Journal of Physics: Conference Series,Author Order : 5 of 5,N/A,2021,N/A,Q4 as Conference Proceedin,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
The effect of competitive strategies on company performance with supply chain management as moderating variables in indonesian manufacturing corporations,https://www.scopus.com/record/display.uri?eid=2-s2.0-85104234988&origin=resultslist,Uncertain Supply Chain Management,Uncertain Supply Chain Management,Author Order : 5 of 5,N/A,2021,N/A,Q1 as Journal,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
Ergonomic risk assessment of the press machine for casava chips in smes-karya lestari jaya: A case study,https://www.scopus.com/record/display.uri?eid=2-s2.0-85108569324&origin=resultslist,Journal of Applied Engineering Science,Journal of Applied Engineering Science,Author Order : 5 of 5,N/A,2021,N/A,Q2 as Journal,DADANG HERMAWAN,5987236,Universitas Widya Gama,S1 - Teknik Mesin
