Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile,Researcher Name,Researcher ID,Affiliation,Department
Deteksi Pengenalan Citra Rumah Adat Timor Leste Menggunakan YoloV6,https://scholar.google.com/scholar?q=+intitle:%27Deteksi%20Pengenalan%20Citra%20Rumah%20Adat%20Timor%20Leste%20Menggunakan%20YoloV6%27,"1st National Confrence on Electrical, Informatics and Industrial Technology …, 2024","1st National Confrence on Electrical, Informatics and Industrial Technology …, 2024",N/A,"Authors : M Silva, R Putra, G Priyandoko",2024,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Lobster Age Detection Using Digital Video-Based Yolo V8 Algorithm,https://scholar.google.com/scholar?q=+intitle:%27Lobster%20Age%20Detection%20Using%20Digital%20Video-Based%20Yolo%20V8%20Algorithm%27,"Jurnal Teknik Informatika (JUTIF) 5 (4), 1155-1163, 2024","Jurnal Teknik Informatika (JUTIF) 5 (4), 1155-1163, 2024",N/A,"Authors : B Nusman, AY Rahman, R Putra",2024,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
COMPARISON OF PINE SEED QUALITY CLASSIFICATION USING THE NAÏVE BAYES AND KNN METHODS,https://scholar.google.com/scholar?q=+intitle:%27COMPARISON%20OF%20PINE%20SEED%20QUALITY%20CLASSIFICATION%20USING%20THE%20NA%C3%8FVE%20BAYES%20AND%20KNN%20METHODS%27,"Journal of Science and Applied Engineering (JSAE) 7 (1), 42-47, 2024","Journal of Science and Applied Engineering (JSAE) 7 (1), 42-47, 2024",N/A,"Authors : Permata, Istiadi, RP Putra",2024,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
OPTIMALISASI PEMBAGIAN TUGAS DAN PENINGKATAN HUMAN CAPITAL DENGAN INTEGRASI SISTEM IOT DAN DIGITAL MARKETING DI RUMAH PRODUKSI MAKARONI ECHO POLL,https://scholar.google.com/scholar?q=+intitle:%27OPTIMALISASI%20PEMBAGIAN%20TUGAS%20DAN%20PENINGKATAN%20HUMAN%20CAPITAL%20DENGAN%20INTEGRASI%20SISTEM%20IOT%20DAN%20DIGITAL%20MARKETING%20DI%20RUMAH%20PRODUKSI%20MAKARONI%20ECHO%20POLL%27,"Buletin Abdi Masyarakat 5 (1), 83-92, 2024","Buletin Abdi Masyarakat 5 (1), 83-92, 2024",N/A,"Authors : C Anam, RP Putra, DC Dewi, N Paramita",2024,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Identification of Socio Economic Registration Data Using OCR Based Tesseract and Google Cloud Vision,https://scholar.google.com/scholar?q=+intitle:%27Identification%20of%20Socio%20Economic%20Registration%20Data%20Using%20OCR%20Based%20Tesseract%20and%20Google%20Cloud%20Vision%27,"Buana Information Technology and Computer Sciences (BIT and CS) 5 (2), 64-73, 2024","Buana Information Technology and Computer Sciences (BIT and CS) 5 (2), 64-73, 2024",N/A,"Authors : LU Pratama, AY Rahman, RP Putra",2024,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Pengabdian Masyarakat Dalam Upaya Peningkatan Pengelolaan Keuangan Pada PAUD IT Putera Zaman Kelurahan Jatimulyo Kecamatan Lowokwaru Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Pengabdian%20Masyarakat%20Dalam%20Upaya%20Peningkatan%20Pengelolaan%20Keuangan%20Pada%20PAUD%20IT%20Putera%20Zaman%20Kelurahan%20Jatimulyo%20Kecamatan%20Lowokwaru%20Kota%20Malang%27,"Jurnal Aplikasi dan Inovasi Ipteks SOLIDITAS 6 (2), 190-195, 2023","Jurnal Aplikasi dan Inovasi Ipteks SOLIDITAS 6 (2), 190-195, 2023",N/A,"Authors : RPP Gigih Priyandoko, Endah Puspitosarie",2023,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Classifying Dental Caries Types Using Panoramic Dental Images Using Watershed Method and Multiclass Support Vector Machine,https://scholar.google.com/scholar?q=+intitle:%27Classifying%20Dental%20Caries%20Types%20Using%20Panoramic%20Dental%20Images%20Using%20Watershed%20Method%20and%20Multiclass%20Support%20Vector%20Machine%27,"Applied Technology and Computing Science Journal 6 (2), 143-151, 2023","Applied Technology and Computing Science Journal 6 (2), 143-151, 2023",N/A,"Authors : RPP Putra, AY Rahman",2023,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
"Pembuatan Aplikasi Mobile untuk Meningkatkan Proses Pemasaran dan Penjualan Hasil Urban Farming, Kelurahan Balearjosari, Kota Malang","https://scholar.google.com/scholar?q=+intitle:%27Pembuatan%20Aplikasi%20Mobile%20untuk%20Meningkatkan%20Proses%20Pemasaran%20dan%20Penjualan%20Hasil%20Urban%20Farming,%20Kelurahan%20Balearjosari,%20Kota%20Malang%27","Jurnal Aplikasi dan Inovasi Ipteks SOLIDITAS 6 (2), 287-297, 2023","Jurnal Aplikasi dan Inovasi Ipteks SOLIDITAS 6 (2), 287-297, 2023",N/A,"Authors : P Rangga, CA Ririen Prihandarini",2023,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://scholar.google.com/scholar?q=+intitle:%27Moving%20Car%20Observation%20(MCO)%20for%20Road%20Surface%20Defect%20Identification%20Using%20GPS%20Video%27,"2023 International Conference on Computer Science, Information Technology …, 2023","2023 International Conference on Computer Science, Information Technology …, 2023",N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, AY Rahman, RP Putra",2023,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
"Aplikasi Deteksi Jumlah Kendaraan Bermotor Berbasis Video CCTV Lalu Lintas, Kota Malang","https://scholar.google.com/scholar?q=+intitle:%27Aplikasi%20Deteksi%20Jumlah%20Kendaraan%20Bermotor%20Berbasis%20Video%20CCTV%20Lalu%20Lintas,%20Kota%20Malang%27","The 6th Confrence on Innovation and Application of Science and Technology …, 2023","The 6th Confrence on Innovation and Application of Science and Technology …, 2023",N/A,"Authors : R Putra, A Suraji",2023,N/A,N/A,RANGGA PAHLEVI PUTRA,6729051,Universitas Widya Gama,S1 - Teknik Informatika
